geometry,center_x,center_y,center,poly_area_km,bike_rental_density,animal_shelter_density,archive_density,arts_centre_density,atm_density,bank_density,bar_density,bench_density,bench;waste_basket_density,bicycle_parking_density,bicycle_repair_station_density,biergarten_density,bureau_de_change_density,bus_station_density,cafe_density,car_rental_density,car_sharing_density,car_wash_density,casino_density,charging_station_density,childcare_density,cinema_density,circus_school_density,clinic_density,clock_density,club_density,college_density,community_centre_density,compressed_air_density,conference_centre_density,courthouse_density,crematorium_density,dentist_density,device_charging_station_density,doctors_density,doctors_offices_density,drinking_water_density,embassy_density,events_venue_density,fast_food_density,ferry_terminal_density,fire_station_density,fountain_density,fuel_density,gallery_density,gambling_density,garden_density,grave_yard_density,grit_bin_density,hospital_density,ice_cream_density,jobcentre_density,kindergarten_density,language_school_density,left_luggage_density,library_density,life_boats_density,luggage_locker_density,marketplace_density,monastery_density,money_transfer_density,money_transfer; post_office_density,motorcycle_parking_density,music_school_density,music_venue_density,nightclub_density,nursing_home_density,parcel_lockers_density,parking_density,parking_entrance_density,parking_space_density,pharmacy_density,photo_booth_density,place_of_worship_density,place_of_worship;monastery_density,police_density,post_box_density,post_depot_density,post_office_density,prep_school_density,preschool_density,prison_density,pub_density,public_bath_density,public_bookcase_density,public_building_density,recycling_density,restaurant_density,restaurant;cafe_density,school_density,shelter_density,social_centre_density,social_facility_density,sport_density,stripclub_density,studio_density,swimming_pool_density,swingerclub_density,taxi_density,telephone_density,theatre_density,toilets_density,townhall_density,trailer_park_density,trade_school_density,university_density,vending_machine_density,venue_density,veterinary_density,waste_basket_density,water_density,water_fountain_density,yacht_club_density
"POLYGON ((-87.940101 42.00453099999993, -87.93010099999999 42.00453099999993, -87.93010099999999 41.99453099999993, -87.940101 41.99453099999993, -87.940101 42.00453099999993))",-87.93510099999999,41.99953099999993,POINT (-87.93510099999999 41.99953099999993),1.6674997005283885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"POLYGON ((-87.940101 41.99453099999993, -87.93010099999999 41.99453099999993, -87.93010099999999 41.98453099999993, -87.940101 41.98453099999993, -87.940101 41.99453099999993))",-87.93510099999999,41.98953099999993,POINT (-87.93510099999999 41.98953099999993),1.6672377235733564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"POLYGON ((-87.940101 41.98453099999993, -87.93010099999999 41.98453099999993, -87.93010099999999 41.97453099999993, -87.940101 41.97453099999993, -87.940101 41.98453099999993))",-87.93510099999999,41.97953099999993,POINT (-87.93510099999999 41.97953099999993),1.6669758796916159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.199777407919059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"POLYGON ((-87.940101 41.97453099999993, -87.93010099999999 41.97453099999993, -87.93010099999999 41.96453099999994, -87.940101 41.96453099999994, -87.940101 41.97453099999993))",-87.93510099999999,41.96953099999993,POINT (-87.93510099999999 41.96953099999993),1.6667141688074847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5999828997166855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"POLYGON ((-87.93010099999999 42.00453099999993, -87.92010099999999 42.00453099999993, -87.92010099999999 41.99453099999993, -87.93010099999999 41.99453099999993, -87.93010099999999 42.00453099999993))",-87.92510099999998,41.99953099999993,POINT (-87.92510099999998 41.99953099999993),1.667499700522808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5997002576291149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"POLYGON ((-87.93010099999999 41.99453099999993, -87.92010099999999 41.99453099999993, -87.92010099999999 41.98453099999993, -87.93010099999999 41.98453099999993, -87.93010099999999 41.99453099999993))",-87.92510099999998,41.98953099999993,POINT (-87.92510099999998 41.98953099999993),1.6672377235677769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5997944899303664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5997944899303664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"POLYGON ((-87.93010099999999 41.98453099999993, -87.92010099999999 41.98453099999993, -87.92010099999999 41.97453099999993, -87.93010099999999 41.97453099999993, -87.93010099999999 41.98453099999993))",-87.92510099999998,41.97953099999993,POINT (-87.92510099999998 41.97953099999993),1.6669758796860372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"POLYGON ((-87.93010099999999 41.97453099999993, -87.92010099999999 41.97453099999993, -87.92010099999999 41.96453099999994, -87.93010099999999 41.96453099999994, -87.93010099999999 41.97453099999993))",-87.92510099999998,41.96953099999993,POINT (-87.92510099999998 41.96953099999993),1.666714168801907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"POLYGON ((-87.93010099999999 41.96453099999994, -87.92010099999999 41.96453099999994, -87.92010099999999 41.95453099999994, -87.93010099999999 41.95453099999994, -87.93010099999999 41.96453099999994))",-87.92510099999998,41.959530999999934,POINT (-87.92510099999998 41.95953099999993),1.6664525908365935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000770771990456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"POLYGON ((-87.92010099999999 42.00453099999993, -87.91010099999998 42.00453099999993, -87.91010099999998 41.99453099999993, -87.92010099999999 41.99453099999993, -87.92010099999999 42.00453099999993))",-87.915101,41.99953099999993,POINT (-87.91510100000001 41.99953099999993),1.6674997005283885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.599700257627108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.199400515254216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
