osmid,geometry,amenity,capacity,divvy:id,name,operator,element_type,network,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,brand,brand:wikidata,brand:wikipedia,opening_hours,shop,payment:credit_cards,payment:app,payment:subscription
2359403111,POINT (-87.61775900000001 41.865212),bicycle_rental,19,97,Field Museum,Divvy,node,,,,,,,,,,,,,,
2359403112,POINT (-87.66098390000001 41.8963734),bicycle_rental,15,86,Eckhart Park,Divvy,node,,,,,,,,,,,,,,
2359403113,POINT (-87.6626 41.90068),bicycle_rental,15,29,Noble St & Milwaukee Ave,Divvy,node,,,,,,,,,,,,,,
2359403114,POINT (-87.6540613 41.8963625),bicycle_rental,19,54,Ogden Ave & Chicago Ave,Divvy,node,,,,,,,,,,,,,,
2359403115,POINT (-87.637715 41.902924),bicycle_rental,15,23,Orleans St & Elm St,Divvy,node,,,,,,,,,,,,,,
2359403116,POINT (-87.619407 41.857611),bicycle_rental,15,338,Calumet Ave & 18th St,Divvy,node,,,,,,,,,,,,,,
2359403117,POINT (-87.65648659999999 41.8581806),bicycle_rental,15,15,Racine Ave & 18th St,Divvy,node,,,,,,,,,,,,,,
2359403118,POINT (-87.65703000000001 41.87464),bicycle_rental,19,32,Racine Ave & Congress Pkwy,Divvy,node,,,,,,,,,,,,,,
2359403119,POINT (-87.6583591 41.9255538),bicycle_rental,19,87,Racine Ave & Fullerton Ave,Divvy,node,,,,,,,,,,,,,,
2359403121,POINT (-87.6366209 41.9183118),bicycle_rental,19,94,Clark St & Armitage Ave,Divvy,node,,,,,,,,,,,,,,
2359403122,POINT (-87.65370799999999 41.9256019),bicycle_rental,15,67,Sheffield Ave & Fullerton Ave,Divvy,node,,,,,,,,,,,,,,
2359403123,POINT (-87.6534972 41.9095919),bicycle_rental,15,20,Sheffield Ave & Kingsbury St,Divvy,node,,,,,,,,,,,,,,
2359403124,POINT (-87.652855 41.913688),bicycle_rental,15,223,Sheffield Ave & Willow St,Divvy,node,,,,,,,,,,,,,,
2359403125,POINT (-87.6277292 41.8601214),bicycle_rental,15,72,State St & 16th St,Divvy,node,,,,,,,,,,,,,,
2359403126,POINT (-87.6277395 41.8739581),bicycle_rental,19,5,State St & Harrison St,Divvy,node,,,,,,,,,,,,,,
2359403128,POINT (-87.6277336 41.8847302),bicycle_rental,27,44,State St & Randolph St,Divvy,node,,,,,,,,,,,,,,
2359403129,POINT (-87.627844 41.877181),bicycle_rental,27,33,State St & Van Buren St,Divvy,node,,,,,,,,,,,,,,
2359403130,POINT (-87.622694 41.886861),bicycle_rental,19,264,Stetson Ave & South Water St,Divvy,node,,,,,,,,,,,,,,
2359403132,POINT (-87.6253371 41.8532388),bicycle_rental,15,42,Wabash Ave & Cermak Rd,Divvy,node,,,,,,,,,,,,,,
2359403133,POINT (-87.625955 41.867173),bicycle_rental,19,59,Wabash Ave & Roosevelt Rd,Divvy,node,,,,,,,,,,,,,,
2359403134,POINT (-87.634423 41.8947285),bicycle_rental,19,53,Wells St & Huron St,Divvy,node,,,,,,,,,,,,,,
2359403135,POINT (-87.6344301 41.89993),bicycle_rental,19,46,Wells St & Walton St,Divvy,node,,,,,,,,,,,,,,
2359403136,POINT (-87.6526808 41.9325001),bicycle_rental,19,13,Wilton Ave & Diversey Pkwy,Divvy,node,,,,,,,,,,,,,,
2359403138,POINT (-87.672552 41.907655),bicycle_rental,15,61,Wood St & Milwaukee Ave,Divvy,node,,,,,,,,,,,,,,
2473029113,POINT (-87.63247269999999 41.8826795),bicycle_rental,15,98,LaSalle St & Washington St,Divvy,node,,,,,,,,,,,,,,
2479668246,POINT (-87.63874319999999 41.9113071),bicycle_rental,19,118,Sedgwick St & North Ave,Divvy,node,Divvy,,,,,,,,,,,,,
2480304726,POINT (-87.666507 41.865234),bicycle_rental,15,275,Ashland Ave & 13th St,Divvy,node,,,,,,,,,,,,,,
2480304729,POINT (-87.665897 41.85381),bicycle_rental,15,208,Ashland Ave & 21st St,Divvy,node,,,,,,,,,,,,,,
2480304733,POINT (-87.668869 41.956061),bicycle_rental,11,246,Ashland Ave & Belle Plaine Ave,Divvy,node,,,,,,,,,,,,,,
2480304737,POINT (-87.667252 41.907066),bicycle_rental,15,333,Ashland Ave & Blackhawk St,Divvy,node,,,,,,,,,,,,,,
2480304742,POINT (-87.6678089 41.903454),bicycle_rental,19,210,Ashland Ave & Division St,Divvy,node,,,,,,,,,,,,,,
2480304746,POINT (-87.6666874 41.891082),bicycle_rental,15,277,Ashland Ave & Grand Ave,Divvy,node,,,,,,,,,,,,,,
2480304750,POINT (-87.66732 41.88541),bicycle_rental,19,119,Ashland Ave & Lake St,Divvy,node,,,,,,,,,,,,,,
2480304764,POINT (-87.66980700000001 41.936083),bicycle_rental,19,250,Ashland Ave & Wellington Ave,Divvy,node,,,,,,,,,,,,,,
