index,geometry,center_x,center_y,center,poly_area_km
2,"POLYGON ((-87.940101 42.00453099999993, -87.93010099999999 42.00453099999993, -87.93010099999999 41.99453099999993, -87.940101 41.99453099999993, -87.940101 42.00453099999993))",-87.93510099999999,41.99953099999993,POINT (-87.93510099999999 41.99953099999993),1.6674997005283885
3,"POLYGON ((-87.940101 41.99453099999993, -87.93010099999999 41.99453099999993, -87.93010099999999 41.98453099999993, -87.940101 41.98453099999993, -87.940101 41.99453099999993))",-87.93510099999999,41.98953099999993,POINT (-87.93510099999999 41.98953099999993),1.6672377235733564
4,"POLYGON ((-87.940101 41.98453099999993, -87.93010099999999 41.98453099999993, -87.93010099999999 41.97453099999993, -87.940101 41.97453099999993, -87.940101 41.98453099999993))",-87.93510099999999,41.97953099999993,POINT (-87.93510099999999 41.97953099999993),1.6669758796916159
5,"POLYGON ((-87.940101 41.97453099999993, -87.93010099999999 41.97453099999993, -87.93010099999999 41.96453099999994, -87.940101 41.96453099999994, -87.940101 41.97453099999993))",-87.93510099999999,41.96953099999993,POINT (-87.93510099999999 41.96953099999993),1.6667141688074847
41,"POLYGON ((-87.93010099999999 42.00453099999993, -87.92010099999999 42.00453099999993, -87.92010099999999 41.99453099999993, -87.93010099999999 41.99453099999993, -87.93010099999999 42.00453099999993))",-87.92510099999998,41.99953099999993,POINT (-87.92510099999998 41.99953099999993),1.667499700522808
42,"POLYGON ((-87.93010099999999 41.99453099999993, -87.92010099999999 41.99453099999993, -87.92010099999999 41.98453099999993, -87.93010099999999 41.98453099999993, -87.93010099999999 41.99453099999993))",-87.92510099999998,41.98953099999993,POINT (-87.92510099999998 41.98953099999993),1.6672377235677769
43,"POLYGON ((-87.93010099999999 41.98453099999993, -87.92010099999999 41.98453099999993, -87.92010099999999 41.97453099999993, -87.93010099999999 41.97453099999993, -87.93010099999999 41.98453099999993))",-87.92510099999998,41.97953099999993,POINT (-87.92510099999998 41.97953099999993),1.6669758796860372
44,"POLYGON ((-87.93010099999999 41.97453099999993, -87.92010099999999 41.97453099999993, -87.92010099999999 41.96453099999994, -87.93010099999999 41.96453099999994, -87.93010099999999 41.97453099999993))",-87.92510099999998,41.96953099999993,POINT (-87.92510099999998 41.96953099999993),1.666714168801907
45,"POLYGON ((-87.93010099999999 41.96453099999994, -87.92010099999999 41.96453099999994, -87.92010099999999 41.95453099999994, -87.93010099999999 41.95453099999994, -87.93010099999999 41.96453099999994))",-87.92510099999998,41.959530999999934,POINT (-87.92510099999998 41.95953099999993),1.6664525908365935
80,"POLYGON ((-87.92010099999999 42.00453099999993, -87.91010099999998 42.00453099999993, -87.91010099999998 41.99453099999993, -87.92010099999999 41.99453099999993, -87.92010099999999 42.00453099999993))",-87.915101,41.99953099999993,POINT (-87.91510100000001 41.99953099999993),1.6674997005283885
81,"POLYGON ((-87.92010099999999 41.99453099999993, -87.91010099999998 41.99453099999993, -87.91010099999998 41.98453099999993, -87.92010099999999 41.98453099999993, -87.92010099999999 41.99453099999993))",-87.915101,41.98953099999993,POINT (-87.91510100000001 41.98953099999993),1.6672377235733564
82,"POLYGON ((-87.92010099999999 41.98453099999993, -87.91010099999998 41.98453099999993, -87.91010099999998 41.97453099999993, -87.92010099999999 41.97453099999993, -87.92010099999999 41.98453099999993))",-87.915101,41.97953099999993,POINT (-87.91510100000001 41.97953099999993),1.6669758796916159
83,"POLYGON ((-87.92010099999999 41.97453099999993, -87.91010099999998 41.97453099999993, -87.91010099999998 41.96453099999994, -87.92010099999999 41.96453099999994, -87.92010099999999 41.97453099999993))",-87.915101,41.96953099999993,POINT (-87.91510100000001 41.96953099999993),1.6667141688074847
84,"POLYGON ((-87.92010099999999 41.96453099999994, -87.91010099999998 41.96453099999994, -87.91010099999998 41.95453099999994, -87.92010099999999 41.95453099999994, -87.92010099999999 41.96453099999994))",-87.915101,41.959530999999934,POINT (-87.91510100000001 41.95953099999993),1.6664525908421701
119,"POLYGON ((-87.91010099999998 42.00453099999993, -87.90010099999998 42.00453099999993, -87.90010099999998 41.99453099999993, -87.91010099999998 41.99453099999993, -87.91010099999998 42.00453099999993))",-87.90510099999999,41.99953099999993,POINT (-87.90510099999999 41.99953099999993),1.667499700522808
120,"POLYGON ((-87.91010099999998 41.99453099999993, -87.90010099999998 41.99453099999993, -87.90010099999998 41.98453099999993, -87.91010099999998 41.98453099999993, -87.91010099999998 41.99453099999993))",-87.90510099999999,41.98953099999993,POINT (-87.90510099999999 41.98953099999993),1.6672377235677769
121,"POLYGON ((-87.91010099999998 41.98453099999993, -87.90010099999998 41.98453099999993, -87.90010099999998 41.97453099999993, -87.91010099999998 41.97453099999993, -87.91010099999998 41.98453099999993))",-87.90510099999999,41.97953099999993,POINT (-87.90510099999999 41.97953099999993),1.6669758796860372
122,"POLYGON ((-87.91010099999998 41.97453099999993, -87.90010099999998 41.97453099999993, -87.90010099999998 41.96453099999994, -87.91010099999998 41.96453099999994, -87.91010099999998 41.97453099999993))",-87.90510099999999,41.96953099999993,POINT (-87.90510099999999 41.96953099999993),1.666714168801907
123,"POLYGON ((-87.91010099999998 41.96453099999994, -87.90010099999998 41.96453099999994, -87.90010099999998 41.95453099999994, -87.91010099999998 41.95453099999994, -87.91010099999998 41.96453099999994))",-87.90510099999999,41.959530999999934,POINT (-87.90510099999999 41.95953099999993),1.6664525908365935
