,index,geometry,center_x,center_y,center,,pharmacy,recycling,place_of_worship,post_box,library,post_office,parking,fuel,bank,pub,telephone,toilets,taxi,bicycle_parking,motorcycle_parking,fast_food,bar,life_boats,restaurant,arts_centre,music_venue,nightclub,cafe,atm,community_centre,jobcentre,doctors,cinema,grave_yard,police,bus_station,theatre,bureau_de_change,hospital,bench,school,courthouse,ice_cream,fountain,left_luggage,drinking_water,casino,car_rental,car_wash,ferry_terminal,dentist,townhall,shelter,parking_entrance,conference_centre,marketplace,vending_machine,waste_basket,clock,studio,veterinary,gallery,gambling,kindergarten,social_facility,charging_station,bicycle_rental,car_sharing,clinic,water,compressed_air,public_building,social_centre,childcare,grit_bin,bicycle_repair_station,events_venue,embassy,college,circus_school,parcel_lockers,money_transfer,photo_booth,luggage_locker,university,venue,swimming_pool,fire_station,post_depot,crematorium,sport,nursing_home,biergarten,garden,prison,club,parking_space,trailer_park,archive,monastery
11,41,"POLYGON ((-4.373200600000001 55.84127669999999, -4.363200600000001 55.84127669999999, -4.363200600000001 55.83127669999999, -4.373200600000001 55.83127669999999, -4.373200600000001 55.84127669999999))",-4.368200600000001,55.836276699999985,POINT (-4.368200600000001 55.83627669999998),,,,,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,42,"POLYGON ((-4.373200600000001 55.83127669999999, -4.363200600000001 55.83127669999999, -4.363200600000001 55.82127669999999, -4.373200600000001 55.82127669999999, -4.373200600000001 55.83127669999999))",-4.368200600000001,55.82627669999999,POINT (-4.368200600000001 55.82627669999999),,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,44,"POLYGON ((-4.373200600000001 55.81127669999999, -4.363200600000001 55.81127669999999, -4.363200600000001 55.8012767, -4.373200600000001 55.8012767, -4.373200600000001 55.81127669999999))",-4.368200600000001,55.80627669999999,POINT (-4.368200600000001 55.80627669999999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
14,45,"POLYGON ((-4.373200600000001 55.8012767, -4.363200600000001 55.8012767, -4.363200600000001 55.7912767, -4.373200600000001 55.7912767, -4.373200600000001 55.8012767))",-4.368200600000001,55.79627670000001,POINT (-4.368200600000001 55.79627670000001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,49,"POLYGON ((-4.363200600000001 55.92127669999997, -4.353200600000001 55.92127669999997, -4.353200600000001 55.91127669999997, -4.363200600000001 55.91127669999997, -4.363200600000001 55.92127669999997))",-4.358200600000001,55.91627669999996,POINT (-4.358200600000001 55.91627669999996),,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,50,"POLYGON ((-4.363200600000001 55.91127669999997, -4.353200600000001 55.91127669999997, -4.353200600000001 55.90127669999998, -4.363200600000001 55.90127669999998, -4.363200600000001 55.91127669999997))",-4.358200600000001,55.90627669999997,POINT (-4.358200600000001 55.90627669999997),,,,1.0,1.0,,,3.0,,,,1.0,,,,,2.0,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
17,51,"POLYGON ((-4.363200600000001 55.90127669999998, -4.353200600000001 55.90127669999998, -4.353200600000001 55.89127669999998, -4.363200600000001 55.89127669999998, -4.363200600000001 55.90127669999998))",-4.358200600000001,55.89627669999997,POINT (-4.358200600000001 55.89627669999997),,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,52,"POLYGON ((-4.363200600000001 55.89127669999998, -4.353200600000001 55.89127669999998, -4.353200600000001 55.88127669999998, -4.363200600000001 55.88127669999998, -4.363200600000001 55.89127669999998))",-4.358200600000001,55.886276699999975,POINT (-4.358200600000001 55.88627669999997),,1.0,,2.0,,1.0,,4.0,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,53,"POLYGON ((-4.363200600000001 55.88127669999998, -4.353200600000001 55.88127669999998, -4.353200600000001 55.87127669999998, -4.363200600000001 55.87127669999998, -4.363200600000001 55.88127669999998))",-4.358200600000001,55.87627669999998,POINT (-4.358200600000001 55.87627669999998),,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,55,"POLYGON ((-4.363200600000001 55.86127669999998, -4.353200600000001 55.86127669999998, -4.353200600000001 55.85127669999999, -4.363200600000001 55.85127669999999, -4.363200600000001 55.86127669999998))",-4.358200600000001,55.85627669999998,POINT (-4.358200600000001 55.85627669999998),,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,56,"POLYGON ((-4.363200600000001 55.85127669999999, -4.353200600000001 55.85127669999999, -4.353200600000001 55.84127669999999, -4.363200600000001 55.84127669999999, -4.363200600000001 55.85127669999999))",-4.358200600000001,55.8462767,POINT (-4.358200600000001 55.8462767),,1.0,,1.0,2.0,,1.0,1.0,1.0,,,1.0,,,2.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,57,"POLYGON ((-4.363200600000001 55.84127669999999, -4.353200600000001 55.84127669999999, -4.353200600000001 55.83127669999999, -4.363200600000001 55.83127669999999, -4.363200600000001 55.84127669999999))",-4.358200600000001,55.836276699999985,POINT (-4.358200600000001 55.83627669999998),,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,58,"POLYGON ((-4.363200600000001 55.83127669999999, -4.353200600000001 55.83127669999999, -4.353200600000001 55.82127669999999, -4.363200600000001 55.82127669999999, -4.363200600000001 55.83127669999999))",-4.358200600000001,55.82627669999999,POINT (-4.358200600000001 55.82627669999999),,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,59,"POLYGON ((-4.363200600000001 55.82127669999999, -4.353200600000001 55.82127669999999, -4.353200600000001 55.81127669999999, -4.363200600000001 55.81127669999999, -4.363200600000001 55.82127669999999))",-4.358200600000001,55.816276699999996,POINT (-4.358200600000001 55.8162767),,,,1.0,2.0,,1.0,1.0,,,,,,,1.0,,5.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,60,"POLYGON ((-4.363200600000001 55.81127669999999, -4.353200600000001 55.81127669999999, -4.353200600000001 55.8012767, -4.363200600000001 55.8012767, -4.363200600000001 55.81127669999999))",-4.358200600000001,55.80627669999999,POINT (-4.358200600000001 55.80627669999999),,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,61,"POLYGON ((-4.363200600000001 55.8012767, -4.353200600000001 55.8012767, -4.353200600000001 55.7912767, -4.363200600000001 55.7912767, -4.363200600000001 55.8012767))",-4.358200600000001,55.79627670000001,POINT (-4.358200600000001 55.79627670000001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,65,"POLYGON ((-4.353200600000001 55.92127669999997, -4.343200600000001 55.92127669999997, -4.343200600000001 55.91127669999997, -4.353200600000001 55.91127669999997, -4.353200600000001 55.92127669999997))",-4.348200600000001,55.91627669999996,POINT (-4.348200600000001 55.91627669999996),,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,67,"POLYGON ((-4.353200600000001 55.90127669999998, -4.343200600000001 55.90127669999998, -4.343200600000001 55.89127669999998, -4.353200600000001 55.89127669999998, -4.353200600000001 55.90127669999998))",-4.348200600000001,55.89627669999997,POINT (-4.348200600000001 55.89627669999997),,,,1.0,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,68,"POLYGON ((-4.353200600000001 55.89127669999998, -4.343200600000001 55.89127669999998, -4.343200600000001 55.88127669999998, -4.353200600000001 55.88127669999998, -4.353200600000001 55.89127669999998))",-4.348200600000001,55.886276699999975,POINT (-4.348200600000001 55.88627669999997),,,,1.0,3.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
30,69,"POLYGON ((-4.353200600000001 55.88127669999998, -4.343200600000001 55.88127669999998, -4.343200600000001 55.87127669999998, -4.353200600000001 55.87127669999998, -4.353200600000001 55.88127669999998))",-4.348200600000001,55.87627669999998,POINT (-4.348200600000001 55.87627669999998),,,,1.0,2.0,,1.0,,,,,2.0,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,70,"POLYGON ((-4.353200600000001 55.87127669999998, -4.343200600000001 55.87127669999998, -4.343200600000001 55.86127669999998, -4.353200600000001 55.86127669999998, -4.353200600000001 55.87127669999998))",-4.348200600000001,55.86627669999999,POINT (-4.348200600000001 55.86627669999999),,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,71,"POLYGON ((-4.353200600000001 55.86127669999998, -4.343200600000001 55.86127669999998, -4.343200600000001 55.85127669999999, -4.353200600000001 55.85127669999999, -4.353200600000001 55.86127669999998))",-4.348200600000001,55.85627669999998,POINT (-4.348200600000001 55.85627669999998),,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,72,"POLYGON ((-4.353200600000001 55.85127669999999, -4.343200600000001 55.85127669999999, -4.343200600000001 55.84127669999999, -4.353200600000001 55.84127669999999, -4.353200600000001 55.85127669999999))",-4.348200600000001,55.8462767,POINT (-4.348200600000001 55.8462767),,1.0,,,4.0,1.0,1.0,,,,1.0,,,,2.0,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
34,73,"POLYGON ((-4.353200600000001 55.84127669999999, -4.343200600000001 55.84127669999999, -4.343200600000001 55.83127669999999, -4.353200600000001 55.83127669999999, -4.353200600000001 55.84127669999999))",-4.348200600000001,55.836276699999985,POINT (-4.348200600000001 55.83627669999998),,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,74,"POLYGON ((-4.353200600000001 55.83127669999999, -4.343200600000001 55.83127669999999, -4.343200600000001 55.82127669999999, -4.353200600000001 55.82127669999999, -4.353200600000001 55.83127669999999))",-4.348200600000001,55.82627669999999,POINT (-4.348200600000001 55.82627669999999),,,,,,,1.0,4.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
36,75,"POLYGON ((-4.353200600000001 55.82127669999999, -4.343200600000001 55.82127669999999, -4.343200600000001 55.81127669999999, -4.353200600000001 55.81127669999999, -4.353200600000001 55.82127669999999))",-4.348200600000001,55.816276699999996,POINT (-4.348200600000001 55.8162767),,,,1.0,2.0,,,4.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,76,"POLYGON ((-4.353200600000001 55.81127669999999, -4.343200600000001 55.81127669999999, -4.343200600000001 55.8012767, -4.353200600000001 55.8012767, -4.353200600000001 55.81127669999999))",-4.348200600000001,55.80627669999999,POINT (-4.348200600000001 55.80627669999999),,,,,,,,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
38,77,"POLYGON ((-4.353200600000001 55.8012767, -4.343200600000001 55.8012767, -4.343200600000001 55.7912767, -4.353200600000001 55.7912767, -4.353200600000001 55.8012767))",-4.348200600000001,55.79627670000001,POINT (-4.348200600000001 55.79627670000001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,83,"POLYGON ((-4.343200600000001 55.90127669999998, -4.333200600000001 55.90127669999998, -4.333200600000001 55.89127669999998, -4.343200600000001 55.89127669999998, -4.343200600000001 55.90127669999998))",-4.338200600000001,55.89627669999997,POINT (-4.338200600000001 55.89627669999997),,1.0,,5.0,,,1.0,2.0,,1.0,,2.0,,,,,1.0,,,,,,,1.0,2.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
40,84,"POLYGON ((-4.343200600000001 55.89127669999998, -4.333200600000001 55.89127669999998, -4.333200600000001 55.88127669999998, -4.343200600000001 55.88127669999998, -4.343200600000001 55.89127669999998))",-4.338200600000001,55.886276699999975,POINT (-4.338200600000001 55.88627669999997),,,,,,,,5.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,
41,85,"POLYGON ((-4.343200600000001 55.88127669999998, -4.333200600000001 55.88127669999998, -4.333200600000001 55.87127669999998, -4.343200600000001 55.87127669999998, -4.343200600000001 55.88127669999998))",-4.338200600000001,55.87627669999998,POINT (-4.338200600000001 55.87627669999998),,,,,2.0,1.0,,3.0,1.0,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,86,"POLYGON ((-4.343200600000001 55.87127669999998, -4.333200600000001 55.87127669999998, -4.333200600000001 55.86127669999998, -4.343200600000001 55.86127669999998, -4.343200600000001 55.87127669999998))",-4.338200600000001,55.86627669999999,POINT (-4.338200600000001 55.86627669999999),,,,,1.0,,,6.0,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,87,"POLYGON ((-4.343200600000001 55.86127669999998, -4.333200600000001 55.86127669999998, -4.333200600000001 55.85127669999999, -4.343200600000001 55.85127669999999, -4.343200600000001 55.86127669999998))",-4.338200600000001,55.85627669999998,POINT (-4.338200600000001 55.85627669999998),,,,1.0,2.0,,1.0,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,88,"POLYGON ((-4.343200600000001 55.85127669999999, -4.333200600000001 55.85127669999999, -4.333200600000001 55.84127669999999, -4.343200600000001 55.84127669999999, -4.343200600000001 55.85127669999999))",-4.338200600000001,55.8462767,POINT (-4.338200600000001 55.8462767),,,,1.0,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
45,89,"POLYGON ((-4.343200600000001 55.84127669999999, -4.333200600000001 55.84127669999999, -4.333200600000001 55.83127669999999, -4.343200600000001 55.83127669999999, -4.343200600000001 55.84127669999999))",-4.338200600000001,55.836276699999985,POINT (-4.338200600000001 55.83627669999998),,,,1.0,4.0,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
46,90,"POLYGON ((-4.343200600000001 55.83127669999999, -4.333200600000001 55.83127669999999, -4.333200600000001 55.82127669999999, -4.343200600000001 55.82127669999999, -4.343200600000001 55.83127669999999))",-4.338200600000001,55.82627669999999,POINT (-4.338200600000001 55.82627669999999),,2.0,1.0,,2.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,2.0,1.0,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,91,"POLYGON ((-4.343200600000001 55.82127669999999, -4.333200600000001 55.82127669999999, -4.333200600000001 55.81127669999999, -4.343200600000001 55.81127669999999, -4.343200600000001 55.82127669999999))",-4.338200600000001,55.816276699999996,POINT (-4.338200600000001 55.8162767),,,,,,,,11.0,1.0,,,,1.0,,3.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,92,"POLYGON ((-4.343200600000001 55.81127669999999, -4.333200600000001 55.81127669999999, -4.333200600000001 55.8012767, -4.343200600000001 55.8012767, -4.343200600000001 55.81127669999999))",-4.338200600000001,55.80627669999999,POINT (-4.338200600000001 55.80627669999999),,1.0,,1.0,,,,6.0,1.0,,,,,,,,4.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,93,"POLYGON ((-4.343200600000001 55.8012767, -4.333200600000001 55.8012767, -4.333200600000001 55.7912767, -4.343200600000001 55.7912767, -4.343200600000001 55.8012767))",-4.338200600000001,55.79627670000001,POINT (-4.338200600000001 55.79627670000001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,99,"POLYGON ((-4.333200600000001 55.90127669999998, -4.323200600000002 55.90127669999998, -4.323200600000002 55.89127669999998, -4.333200600000001 55.89127669999998, -4.333200600000001 55.90127669999998))",-4.3282006000000015,55.89627669999997,POINT (-4.328200600000002 55.89627669999997),,1.0,2.0,,,,,12.0,2.0,,,,,,,,2.0,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
51,100,"POLYGON ((-4.333200600000001 55.89127669999998, -4.323200600000002 55.89127669999998, -4.323200600000002 55.88127669999998, -4.333200600000001 55.88127669999998, -4.333200600000001 55.89127669999998))",-4.3282006000000015,55.886276699999975,POINT (-4.328200600000002 55.88627669999997),,2.0,,3.0,2.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,,,5.0,,2.0,1.0,,,,,,3.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
