index,geometry,center_x,center_y,center,poly_area_km
17,"POLYGON ((-4.3832006 55.92127669999997, -4.373200600000001 55.92127669999997, -4.373200600000001 55.91127669999997, -4.3832006 55.91127669999997, -4.3832006 55.92127669999997))",-4.3782006,55.91627669999996,POINT (-4.3782006 55.91627669999996),2.2112681167374717
18,"POLYGON ((-4.3832006 55.91127669999997, -4.373200600000001 55.91127669999997, -4.373200600000001 55.90127669999998, -4.3832006 55.90127669999998, -4.3832006 55.91127669999997))",-4.3782006,55.90627669999997,POINT (-4.3782006 55.90627669999997),2.2106979188596925
19,"POLYGON ((-4.3832006 55.90127669999998, -4.373200600000001 55.90127669999998, -4.373200600000001 55.89127669999998, -4.3832006 55.89127669999998, -4.3832006 55.90127669999998))",-4.3782006,55.89627669999997,POINT (-4.3782006 55.89627669999997),2.2101280822766713
20,"POLYGON ((-4.3832006 55.89127669999998, -4.373200600000001 55.89127669999998, -4.373200600000001 55.88127669999998, -4.3832006 55.88127669999998, -4.3832006 55.89127669999998))",-4.3782006,55.886276699999975,POINT (-4.3782006 55.88627669999997),2.2095586066722026
23,"POLYGON ((-4.3832006 55.86127669999998, -4.373200600000001 55.86127669999998, -4.373200600000001 55.85127669999999, -4.3832006 55.85127669999999, -4.3832006 55.86127669999998))",-4.3782006,55.85627669999998,POINT (-4.3782006 55.85627669999998),2.2078523426053644
26,"POLYGON ((-4.3832006 55.83127669999999, -4.373200600000001 55.83127669999999, -4.373200600000001 55.82127669999999, -4.3832006 55.82127669999999, -4.3832006 55.83127669999999))",-4.3782006,55.82627669999999,POINT (-4.3782006 55.82627669999999),2.2061493160833505
33,"POLYGON ((-4.373200600000001 55.92127669999997, -4.363200600000001 55.92127669999997, -4.363200600000001 55.91127669999997, -4.373200600000001 55.91127669999997, -4.373200600000001 55.92127669999997))",-4.368200600000001,55.91627669999996,POINT (-4.368200600000001 55.91627669999996),2.2112681167374717
34,"POLYGON ((-4.373200600000001 55.91127669999997, -4.363200600000001 55.91127669999997, -4.363200600000001 55.90127669999998, -4.373200600000001 55.90127669999998, -4.373200600000001 55.91127669999997))",-4.368200600000001,55.90627669999997,POINT (-4.368200600000001 55.90627669999997),2.2106979188596925
35,"POLYGON ((-4.373200600000001 55.90127669999998, -4.363200600000001 55.90127669999998, -4.363200600000001 55.89127669999998, -4.373200600000001 55.89127669999998, -4.373200600000001 55.90127669999998))",-4.368200600000001,55.89627669999997,POINT (-4.368200600000001 55.89627669999997),2.2101280822766713
36,"POLYGON ((-4.373200600000001 55.89127669999998, -4.363200600000001 55.89127669999998, -4.363200600000001 55.88127669999998, -4.373200600000001 55.88127669999998, -4.373200600000001 55.89127669999998))",-4.368200600000001,55.886276699999975,POINT (-4.368200600000001 55.88627669999997),2.2095586066722026
40,"POLYGON ((-4.373200600000001 55.85127669999999, -4.363200600000001 55.85127669999999, -4.363200600000001 55.84127669999999, -4.373200600000001 55.84127669999999, -4.373200600000001 55.85127669999999))",-4.368200600000001,55.8462767,POINT (-4.368200600000001 55.8462767),2.207284307786213
41,"POLYGON ((-4.373200600000001 55.84127669999999, -4.363200600000001 55.84127669999999, -4.363200600000001 55.83127669999999, -4.373200600000001 55.83127669999999, -4.373200600000001 55.84127669999999))",-4.368200600000001,55.836276699999985,POINT (-4.368200600000001 55.83627669999998),2.206716632384277
42,"POLYGON ((-4.373200600000001 55.83127669999999, -4.363200600000001 55.83127669999999, -4.363200600000001 55.82127669999999, -4.373200600000001 55.82127669999999, -4.373200600000001 55.83127669999999))",-4.368200600000001,55.82627669999999,POINT (-4.368200600000001 55.82627669999999),2.2061493160833505
44,"POLYGON ((-4.373200600000001 55.81127669999999, -4.363200600000001 55.81127669999999, -4.363200600000001 55.8012767, -4.373200600000001 55.8012767, -4.373200600000001 55.81127669999999))",-4.368200600000001,55.80627669999999,POINT (-4.368200600000001 55.80627669999999),2.205015759550802
45,"POLYGON ((-4.373200600000001 55.8012767, -4.363200600000001 55.8012767, -4.363200600000001 55.7912767, -4.373200600000001 55.7912767, -4.373200600000001 55.8012767))",-4.368200600000001,55.79627670000001,POINT (-4.368200600000001 55.79627670000001),2.204449518689877
49,"POLYGON ((-4.363200600000001 55.92127669999997, -4.353200600000001 55.92127669999997, -4.353200600000001 55.91127669999997, -4.363200600000001 55.91127669999997, -4.363200600000001 55.92127669999997))",-4.358200600000001,55.91627669999996,POINT (-4.358200600000001 55.91627669999996),2.2112681167374717
