,level_0,index,geometry,center_x,center_y,center,poly_area_km,bike_rental_density,,pharmacy,recycling,place_of_worship,post_box,library,post_office,parking,fuel,bank,pub,telephone,toilets,taxi,bicycle_parking,motorcycle_parking,fast_food,bar,life_boats,restaurant,arts_centre,music_venue,nightclub,cafe,atm,community_centre,jobcentre,doctors,cinema,grave_yard,police,bus_station,theatre,bureau_de_change,hospital,bench,school,courthouse,ice_cream,fountain,left_luggage,drinking_water,casino,car_rental,car_wash,ferry_terminal,dentist,townhall,shelter,parking_entrance,conference_centre,marketplace,vending_machine,waste_basket,clock,studio,veterinary,gallery,gambling,kindergarten,social_facility,charging_station,bicycle_rental,car_sharing,clinic,water,compressed_air,public_building,social_centre,childcare,grit_bin,bicycle_repair_station,events_venue,embassy,college,circus_school,parcel_lockers,money_transfer,photo_booth,luggage_locker,university,venue,swimming_pool,fire_station,post_depot,crematorium,sport,nursing_home,biergarten,garden,prison,club,parking_space,trailer_park,archive,monastery
10,10,40,"POLYGON ((-4.373200600000001 55.85127669999999, -4.363200600000001 55.85127669999999, -4.363200600000001 55.84127669999999, -4.373200600000001 55.84127669999999, -4.373200600000001 55.85127669999999))",-4.368200600000001,55.8462767,POINT (-4.368200600000001 55.8462767),2.207284307786213,0.0,0.0,0.0,0.0,0.0,1.359136197098614,0.0,0.0,0.0,0.0,0.0,0.0,0.45304539903287133,0.0,0.0,0.45304539903287133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45304539903287133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45304539903287133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,41,"POLYGON ((-4.373200600000001 55.84127669999999, -4.363200600000001 55.84127669999999, -4.363200600000001 55.83127669999999, -4.373200600000001 55.83127669999999, -4.373200600000001 55.84127669999999))",-4.368200600000001,55.836276699999985,POINT (-4.368200600000001 55.83627669999998),2.206716632384277,0.0,0.0,0.0,0.0,0.0,0.9063238889168442,0.0,0.0,0.0,0.0,0.0,0.4531619444584221,0.4531619444584221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9063238889168442,0.0,0.4531619444584221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,42,"POLYGON ((-4.373200600000001 55.83127669999999, -4.363200600000001 55.83127669999999, -4.363200600000001 55.82127669999999, -4.373200600000001 55.82127669999999, -4.373200600000001 55.83127669999999))",-4.368200600000001,55.82627669999999,POINT (-4.368200600000001 55.82627669999999),2.2061493160833505,0.0,0.0,0.0,0.0,0.0,0.4532784760803647,0.0,0.0,0.4532784760803647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,44,"POLYGON ((-4.373200600000001 55.81127669999999, -4.363200600000001 55.81127669999999, -4.363200600000001 55.8012767, -4.373200600000001 55.8012767, -4.373200600000001 55.81127669999999))",-4.368200600000001,55.80627669999999,POINT (-4.368200600000001 55.80627669999999),2.205015759550802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4535114978968297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,45,"POLYGON ((-4.373200600000001 55.8012767, -4.363200600000001 55.8012767, -4.363200600000001 55.7912767, -4.373200600000001 55.7912767, -4.373200600000001 55.8012767))",-4.368200600000001,55.79627670000001,POINT (-4.368200600000001 55.79627670000001),2.204449518689877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,49,"POLYGON ((-4.363200600000001 55.92127669999997, -4.353200600000001 55.92127669999997, -4.353200600000001 55.91127669999997, -4.363200600000001 55.91127669999997, -4.363200600000001 55.92127669999997))",-4.358200600000001,55.91627669999996,POINT (-4.358200600000001 55.91627669999996),2.2112681167374717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4522291948365857,0.9044583896731714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4522291948365857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4522291948365857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,50,"POLYGON ((-4.363200600000001 55.91127669999997, -4.353200600000001 55.91127669999997, -4.353200600000001 55.90127669999998, -4.363200600000001 55.90127669999998, -4.363200600000001 55.91127669999997))",-4.358200600000001,55.90627669999997,POINT (-4.358200600000001 55.90627669999997),2.2106979188596925,0.0,0.0,0.0,0.0,0.45234583679158363,0.45234583679158363,0.0,0.0,1.3570375103747507,0.0,0.0,0.0,0.45234583679158363,0.0,0.0,0.0,0.0,0.9046916735831673,0.0,0.0,0.0,0.0,0.0,0.0,0.45234583679158363,0.0,0.45234583679158363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45234583679158363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45234583679158363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45234583679158363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45234583679158363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9046916735831673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,51,"POLYGON ((-4.363200600000001 55.90127669999998, -4.353200600000001 55.90127669999998, -4.353200600000001 55.89127669999998, -4.363200600000001 55.89127669999998, -4.363200600000001 55.90127669999998))",-4.358200600000001,55.89627669999997,POINT (-4.358200600000001 55.89627669999997),2.2101280822766713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45246246496713965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,52,"POLYGON ((-4.363200600000001 55.89127669999998, -4.353200600000001 55.89127669999998, -4.353200600000001 55.88127669999998, -4.363200600000001 55.88127669999998, -4.363200600000001 55.89127669999998))",-4.358200600000001,55.886276699999975,POINT (-4.358200600000001 55.88627669999997),2.2095586066722026,0.0,0.0,0.45257907936014946,0.0,0.9051581587202989,0.0,0.45257907936014946,0.0,1.8103163174405978,0.0,0.0,0.0,0.0,0.0,0.0,0.45257907936014946,0.0,1.3577372380804482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45257907936014946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,53,"POLYGON ((-4.363200600000001 55.88127669999998, -4.353200600000001 55.88127669999998, -4.353200600000001 55.87127669999998, -4.363200600000001 55.87127669999998, -4.363200600000001 55.88127669999998))",-4.358200600000001,55.87627669999998,POINT (-4.358200600000001 55.87627669999998),2.208989491734226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.452695679966736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.452695679966736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
