,index,geometry,center_x,center_y,center,pub,bar,post_box,post_office,parking_entrance,cinema,fuel,cafe,parking,,bicycle_parking,school,restaurant,place_of_worship,nightclub,bus_station,drinking_water,toilets,telephone,fast_food,library,bank,bench,pharmacy,music_venue,university,fountain,language_school,nursing_home,college,theatre,clinic,doctors,ice_cream,arts_centre,fire_station,police,planetarium,atm,taxi,car_rental,brokerage,car_sharing,clock,community_centre,dentist,gym,ferry_terminal,laundry,salon,hookah_lounge,waste_basket,vending_machine,event,social_centre,mortuary,social_facility,fixme,moving_storage,kindergarten,money_transfer,carpool,grave_yard,marketplace,car_wash,Corner Market,Pet grooming shop,stripclub,shelter,bbq,motorcycle_parking,footpath,picnic,recycling,prep_school,embassy,coworking_space,conference_centre,bicycle_rental,food_court,smoking_area,vintage and modern resale,dormitory,studio,mailbox,bicycle_repair_station,ranger_station,bureau_de_change,veterinary,training,dojo,credit_union,popcorn,spa,public_bookcase,harbourmaster,animal_shelter,childcare,music_school,doctors_offices,karaoke,ticket_validator,grocery,storage,loading_dock,table,car_pooling,hospital,water_fountain,charging_station,photo_booth,reception_desk,public_bath,bench;waste_basket,device_charging_station,restaurant;cafe,money_transfer; post_office,trolley_bay,events_venue,karaoke_box,preschool,concert_hall,courthouse,commercial,prison,boat_rental,storage_rental,swingerclub,office,biergarten,music_rehearsal_place,animal_boarding,cruise_terminal,parking_space,stable,place_of_worship;monastery,townhall
10,72,"POLYGON ((-123.153825 37.81031429999997, -123.143825 37.81031429999997, -123.143825 37.80031429999997, -123.153825 37.80031429999997, -123.153825 37.81031429999997))",-123.14882499999999,37.80531429999997,POINT (-123.148825 37.80531429999997),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,73,"POLYGON ((-123.153825 37.80031429999997, -123.143825 37.80031429999997, -123.143825 37.79031429999997, -123.153825 37.79031429999997, -123.153825 37.80031429999997))",-123.14882499999999,37.79531429999998,POINT (-123.148825 37.79531429999998),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,74,"POLYGON ((-123.153825 37.79031429999997, -123.143825 37.79031429999997, -123.143825 37.78031429999997, -123.153825 37.78031429999997, -123.153825 37.79031429999997))",-123.14882499999999,37.78531429999997,POINT (-123.148825 37.78531429999997),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,75,"POLYGON ((-123.153825 37.78031429999997, -123.143825 37.78031429999997, -123.143825 37.77031429999997, -123.153825 37.77031429999997, -123.153825 37.78031429999997))",-123.14882499999999,37.77531429999998,POINT (-123.148825 37.77531429999998),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,76,"POLYGON ((-123.153825 37.77031429999997, -123.143825 37.77031429999997, -123.143825 37.76031429999998, -123.153825 37.76031429999998, -123.153825 37.77031429999997))",-123.14882499999999,37.76531429999997,POINT (-123.148825 37.76531429999997),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,77,"POLYGON ((-123.153825 37.76031429999998, -123.143825 37.76031429999998, -123.143825 37.75031429999998, -123.153825 37.75031429999998, -123.153825 37.76031429999998))",-123.14882499999999,37.75531429999999,POINT (-123.148825 37.75531429999999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,78,"POLYGON ((-123.153825 37.75031429999998, -123.143825 37.75031429999998, -123.143825 37.74031429999998, -123.153825 37.74031429999998, -123.153825 37.75031429999998))",-123.14882499999999,37.745314299999976,POINT (-123.148825 37.74531429999998),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,79,"POLYGON ((-123.153825 37.74031429999998, -123.143825 37.74031429999998, -123.143825 37.73031429999998, -123.153825 37.73031429999998, -123.153825 37.74031429999998))",-123.14882499999999,37.735314299999985,POINT (-123.148825 37.73531429999998),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,101,"POLYGON ((-123.143825 37.82031429999996, -123.133825 37.82031429999996, -123.133825 37.81031429999997, -123.143825 37.81031429999997, -123.143825 37.82031429999996))",-123.13882499999997,37.81531429999997,POINT (-123.138825 37.81531429999997),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,102,"POLYGON ((-123.143825 37.81031429999997, -123.133825 37.81031429999997, -123.133825 37.80031429999997, -123.143825 37.80031429999997, -123.143825 37.81031429999997))",-123.13882499999997,37.80531429999997,POINT (-123.138825 37.80531429999997),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,103,"POLYGON ((-123.143825 37.80031429999997, -123.133825 37.80031429999997, -123.133825 37.79031429999997, -123.143825 37.79031429999997, -123.143825 37.80031429999997))",-123.13882499999997,37.79531429999998,POINT (-123.138825 37.79531429999998),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,104,"POLYGON ((-123.143825 37.79031429999997, -123.133825 37.79031429999997, -123.133825 37.78031429999997, -123.143825 37.78031429999997, -123.143825 37.79031429999997))",-123.13882499999997,37.78531429999997,POINT (-123.138825 37.78531429999997),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,105,"POLYGON ((-123.143825 37.78031429999997, -123.133825 37.78031429999997, -123.133825 37.77031429999997, -123.143825 37.77031429999997, -123.143825 37.78031429999997))",-123.13882499999997,37.77531429999998,POINT (-123.138825 37.77531429999998),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
